MARCA,MODELO,PRECIO,IVA,FECHA_DE_EMESION,COLOR
Torrent,2009,"€10086,13","€3035,40",2014-07-12,ROJO
Forester,2003,"€37353,68","€2146,09",2014-02-12,VERDE
911,1985,"€59519,64","€2420,39",2013-08-04,BLANCO
A3,2007,"€25003,89","€3393,66",2014-11-05,GRIS
Impreza,2009,"€88289,14","€2582,11",2010-08-20,BLANCO
Jetta,1997,"€12032,84","€3268,61",2016-08-01,NEGRO
Lucerne,2010,"€25599,21","€1670,00",2015-05-22,GRIS
TT,2003,"€31790,67","€2330,29",2018-05-05,NEGRO
Escort,2004,"€62515,97","€2008,36",2019-12-27,ROJO
MKZ,2012,"€20874,78","€1966,17",2014-09-23,BLANCO
9-3,2005,"€69782,06","€2085,96",2019-06-17,ROJO
Yukon XL 1500,2011,"€84442,11","€2248,81",2011-07-16,GRIS
Tracker,2003,"€69066,09","€2775,78",2015-11-30,BLANCO
Amigo,1994,"€65241,64","€1696,72",2015-07-31,BLANCO
Avalanche 1500,2004,"€42287,93","€2099,74",2010-07-01,BLANCO
Maxima,2003,"€37057,48","€2861,84",2018-01-24,BLANCO
Suburban 2500,2006,"€61943,45","€1620,12",2014-05-03,NEGRO
G-Series G30,1996,"€12494,79","€2888,50",2016-11-24,GRIS
Sonoma,1992,"€33797,86","€2679,68",2017-03-27,NEGRO
Suburban,2008,"€27714,18","€2045,28",2016-04-22,NEGRO
Cooper,2005,"€23919,90","€2669,92",2015-01-14,GRIS
Fillmore,1960,"€55538,97","€1766,23",2014-04-12,ROJO
Mentor,1997,"€61730,84","€3052,94",2013-07-23,ROJO
928,1985,"€34148,94","€3182,08",2011-03-22,NEGRO
FF,2012,"€35381,18","€3482,20",2014-03-25,NEGRO
E-Series,2005,"€12877,34","€2969,25",2014-04-18,GRIS
500SEL,1993,"€7908,61","€3321,94",2020-01-18,ROJO
Envoy,2005,"€23782,61","€1624,51",2011-09-28,NEGRO
G-Series G10,1992,"€87189,66","€1677,19",2010-03-23,NEGRO
X3,2008,"€43831,63","€1593,14",2012-12-01,ROJO
Tahoe,2005,"€38545,92","€2317,65",2010-02-10,ROJO
Express 2500,2011,"€72340,99","€2558,09",2020-01-15,ROJO
F430 Spider,2006,"€19494,91","€3330,23",2019-08-31,GRIS
Dakota Club,2003,"€94311,56","€2972,46",2015-06-14,NEGRO
APV,1993,"€71132,90","€3375,49",2016-12-11,BLANCO
300M,2004,"€67908,09","€2798,76",2012-05-12,ROJO
Passat,1987,"€80437,32","€1674,94",2015-01-07,ROJO
CX-5,2013,"€32103,24","€1735,09",2010-06-03,BLANCO
Maxima,2001,"€18592,04","€2883,18",2018-02-23,VERDE
Matrix,2005,"€83944,57","€2940,87",2014-03-26,ROJO
A8,2003,"€43300,85","€1767,37",2011-10-21,BLANCO
F-Series,2011,"€74507,96","€1602,18",2010-08-21,VERDE
Compass,2010,"€85020,10","€3056,92",2010-06-01,VERDE
Sportvan G30,1996,"€96601,65","€2517,97",2018-08-04,VERDE
Cutlass Supreme,1994,"€65070,01","€3234,45",2011-12-27,NEGRO
Stealth,1992,"€98795,07","€3327,33",2015-02-21,GRIS
A4,2002,"€95456,60","€2937,49",2017-11-10,VERDE
Grand Voyager,2000,"€93245,70","€2052,09",2015-11-25,NEGRO
T100,1995,"€25560,52","€2112,19",2016-05-23,BLANCO
Coupe GT,1985,"€61650,27","€1794,63",2014-11-12,ROJO
Rapide,2011,"€8868,11","€3476,73",2012-07-21,GRIS
Outback,2008,"€36049,11","€2410,41",2016-09-12,NEGRO
Nubira,2001,"€50283,97","€3406,04",2017-04-08,VERDE
5 Series,2002,"€75208,81","€2496,07",2019-10-04,ROJO
Countach,1988,"€20138,39","€2063,17",2011-06-09,GRIS
Mustang,1999,"€69887,31","€2854,56",2016-11-28,GRIS
S2000,2009,"€49883,06","€2874,34",2015-03-17,GRIS
xB,2012,"€61125,42","€3116,64",2015-05-07,BLANCO
599 GTB Fiorano,2010,"€20547,23","€2900,07",2014-12-16,NEGRO
Monterey,2006,"€65176,38","€2647,32",2016-07-21,NEGRO
Expedition EL,2011,"€85718,86","€1589,08",2012-02-27,ROJO
Forte,2012,"€25452,84","€1872,12",2017-04-06,BLANCO
Windstar,1998,"€80590,81","€2787,87",2019-12-25,ROJO
Monte Carlo,1999,"€53491,41","€1603,43",2014-07-30,VERDE
XK Series,2005,"€60141,86","€2101,59",2012-04-08,GRIS
X-90,1996,"€58255,17","€3093,70",2015-07-08,BLANCO
200SX,1997,"€73215,43","€3479,71",2019-08-04,GRIS
Milan,2007,"€86783,14","€3248,22",2016-03-26,ROJO
Grand Marquis,2003,"€76375,95","€3306,67",2019-01-16,VERDE
Th!nk,2000,"€17215,65","€2947,16",2012-06-28,BLANCO
Mark VII,1984,"€90559,86","€3022,99",2013-09-03,BLANCO
968,1994,"€29433,45","€1733,20",2015-05-22,ROJO
XJ Series,2002,"€94241,36","€1646,07",2012-01-13,NEGRO
Freestar,2003,"€96693,39","€2064,98",2013-06-08,GRIS
F-Series,2001,"€70927,98","€2810,09",2011-11-27,ROJO
Silverado 1500,2006,"€11402,82","€3077,63",2016-10-31,ROJO
Touareg,2011,"€12634,08","€2160,09",2015-10-30,BLANCO
Park Avenue,2004,"€83948,25","€2213,95",2016-02-26,BLANCO
VehiCROSS,2000,"€79189,50","€1987,70",2012-08-09,VERDE
Golf,1986,"€20069,00","€2341,87",2011-08-11,BLANCO
Element,2003,"€91855,73","€2293,54",2010-04-05,GRIS
Legacy,1995,"€20213,80","€3262,62",2020-01-04,BLANCO
Sequoia,2011,"€91126,33","€3163,07",2017-10-17,VERDE
Ram 2500,2004,"€36715,04","€3082,88",2019-03-21,BLANCO
Charger,2009,"€41325,28","€2406,00",2015-01-30,GRIS
RX,2004,"€55450,19","€3396,08",2015-09-13,BLANCO
Express 1500,2010,"€91846,51","€3176,32",2013-10-15,GRIS
Thunderbird,1958,"€64996,51","€2875,88",2020-05-26,ROJO
RX,2012,"€89567,79","€2722,78",2014-05-08,VERDE
Avalon,2004,"€80445,54","€3308,44",2016-12-04,GRIS
Fairlane,1966,"€43709,70","€1650,21",2017-11-03,ROJO
Neon,1996,"€22363,05","€3241,01",2011-03-18,VERDE
CLK-Class,2005,"€55014,76","€1908,91",2018-10-28,NEGRO
SC,2000,"€42047,47","€2879,94",2012-01-17,NEGRO
New Beetle,2000,"€27963,01","€2014,02",2019-05-06,ROJO
TT,2000,"€77124,92","€2378,68",2015-12-03,BLANCO
Savana 1500,2000,"€16063,41","€3239,72",2010-03-13,GRIS
Paseo,1996,"€68733,17","€2034,07",2012-11-08,BLANCO
Suburban 1500,1995,"€91866,74","€2514,70",2018-10-23,NEGRO
HHR,2010,"€36332,00","€2810,58",2014-02-19,ROJO
Insight,2003,"€67731,41","€3325,49",2019-11-30,NEGRO
Silverado 3500,2003,"€28583,39","€3390,56",2018-03-06,NEGRO
Ram Van B250,1992,"€49197,49","€2696,08",2016-04-26,GRIS
Corvette,1962,"€37547,14","€1968,72",2012-12-06,NEGRO
Boxster,2005,"€12138,22","€3003,33",2015-01-22,BLANCO
T100 Xtra,1997,"€34356,78","€2356,75",2013-05-15,NEGRO
Freelander,2008,"€24286,43","€1971,00",2011-10-14,ROJO
Altima,2005,"€63518,28","€2056,03",2017-11-14,NEGRO
A5,2011,"€11258,15","€2432,02",2015-11-27,ROJO
Legacy,2004,"€46400,40","€2593,46",2016-02-08,NEGRO
Challenger,2008,"€66470,08","€2329,50",2018-04-29,BLANCO
Mark VII,1984,"€74498,71","€2406,29",2016-10-12,ROJO
CLK-Class,2000,"€17837,82","€1773,10",2020-06-25,GRIS
S40,2000,"€63790,43","€1802,02",2012-02-25,ROJO
Escalade EXT,2010,"€42799,52","€2656,68",2019-09-29,GRIS
XLR-V,2009,"€50575,01","€3253,38",2010-02-19,NEGRO
88,1995,"€72943,21","€2456,05",2012-05-06,GRIS
Mark VIII,1998,"€12298,51","€2296,39",2018-02-04,BLANCO
Grand Cherokee,1997,"€84367,29","€1778,27",2013-09-23,VERDE
Dakota,2011,"€40020,15","€2967,18",2015-06-17,ROJO
Grand Prix,2002,"€35115,96","€2092,11",2017-11-02,NEGRO
Fiesta,2011,"€34401,37","€2565,05",2014-11-23,NEGRO
CLS-Class,2006,"€76919,24","€2251,07",2017-08-03,GRIS
Mazdaspeed 3,2008,"€91146,12","€1829,98",2011-06-27,GRIS
Sentra,1991,"€36648,07","€3061,79",2019-01-29,VERDE
RS 4,2008,"€88979,88","€3037,72",2010-03-19,ROJO
A6,2000,"€22030,25","€2828,89",2014-09-15,NEGRO
TT,2012,"€38746,14","€3355,44",2011-08-05,ROJO
Villager,1993,"€61007,79","€3374,18",2010-06-28,BLANCO
H1,1994,"€84198,74","€1933,01",2019-09-12,BLANCO
Verona,2005,"€59270,52","€2752,62",2019-12-23,NEGRO
C-Class,1993,"€73740,42","€2038,43",2015-11-03,BLANCO
Beretta,1994,"€8697,64","€2598,48",2018-01-23,NEGRO
Land Cruiser,2000,"€49841,95","€2000,63",2010-04-02,VERDE
Grand Prix,1981,"€21099,94","€1726,24",2019-09-01,ROJO
Miata MX-5,2004,"€73569,76","€3350,00",2020-02-24,NEGRO
300M,2000,"€9931,33","€2091,13",2013-02-26,NEGRO
Durango,2007,"€95074,98","€3305,02",2015-02-24,GRIS
Trooper,1993,"€63314,38","€3310,06",2011-05-17,ROJO
Edge,2010,"€16511,55","€2043,54",2011-03-04,GRIS
Lucerne,2011,"€84367,87","€2118,80",2015-11-11,VERDE
Supra,1998,"€40551,18","€1972,92",2011-11-18,ROJO
Probe,1997,"€94994,94","€2977,59",2011-06-15,GRIS
MPV,1991,"€95125,65","€2824,74",2014-06-16,NEGRO
Familia,1991,"€30455,17","€2917,89",2013-10-29,NEGRO
Town Car,1999,"€44565,70","€2387,66",2019-09-06,VERDE
Journey,2011,"€9829,16","€3428,04",2019-04-21,VERDE
Exige,2007,"€39437,41","€3459,11",2015-07-17,ROJO
Land Cruiser,2001,"€22537,84","€2286,26",2018-11-16,ROJO
Jetta,2009,"€31370,58","€1598,66",2015-02-05,ROJO
900,1985,"€71440,78","€1910,92",2011-07-18,NEGRO
XC70,2006,"€47120,01","€2958,29",2014-03-24,NEGRO
Veracruz,2011,"€49104,50","€1822,87",2013-06-04,VERDE
Expedition,2001,"€59592,01","€2349,91",2012-09-02,BLANCO
CLS-Class,2009,"€69542,01","€2741,11",2016-07-30,VERDE
Grand Prix,1977,"€94133,26","€3482,85",2015-07-06,BLANCO
929,1993,"€43267,20","€2806,89",2010-12-21,GRIS
Defender,1992,"€81127,89","€2161,49",2018-05-18,NEGRO
Suburban 2500,1995,"€62841,91","€2064,53",2018-10-09,ROJO
Optima,2004,"€68276,83","€3342,93",2020-05-19,BLANCO
1 Series,2011,"€84388,08","€1782,49",2020-02-24,GRIS
Achieva,1993,"€29947,51","€3438,60",2018-03-19,NEGRO
M5,2000,"€64865,32","€3393,89",2011-07-30,GRIS
Caprice,1983,"€58269,13","€3090,14",2019-04-26,VERDE
Tiburon,2004,"€85009,24","€1715,85",2013-10-19,VERDE
Diablo,1996,"€47387,25","€2149,88",2016-02-03,VERDE
Jetta,1987,"€45899,53","€2762,96",2012-07-31,NEGRO
Crown Victoria,2008,"€86342,34","€1992,99",2019-12-01,VERDE
Lancer,2012,"€81868,10","€1769,37",2012-05-01,NEGRO
Savana 1500,2000,"€21398,22","€1873,73",2016-01-28,NEGRO
SC,2002,"€88478,58","€3316,93",2020-06-18,ROJO
Savana 2500,1996,"€99183,95","€1653,98",2015-10-09,NEGRO
Accord,1993,"€37702,09","€3446,87",2015-08-20,GRIS
L-Series,2001,"€80455,44","€2005,51",2018-07-09,ROJO
Charger,1968,"€50125,80","€2604,53",2019-05-16,BLANCO
GTI,2011,"€92112,54","€1958,58",2015-09-07,GRIS
900,1987,"€11770,84","€1968,35",2013-08-09,GRIS
GT500,2009,"€80844,94","€2937,82",2017-12-08,BLANCO
Murciélago,2003,"€93255,86","€2858,69",2018-02-08,VERDE
Accord,1993,"€59810,16","€3023,84",2016-01-12,VERDE
Cube,2009,"€36766,34","€1689,28",2016-06-30,BLANCO
Express,2007,"€35913,01","€1659,43",2015-12-29,GRIS
X-Type,2002,"€41852,45","€2351,84",2016-04-22,GRIS
Pathfinder Armada,2004,"€78772,94","€2112,41",2017-12-31,GRIS
Range Rover,1992,"€54305,28","€2465,29",2016-06-26,GRIS
Pajero,2001,"€91456,58","€2422,22",2014-09-17,GRIS
Reno,2008,"€76074,69","€1922,12",2010-08-06,BLANCO
Gallardo,2006,"€41744,75","€2920,22",2014-05-04,VERDE
Rio,2006,"€78750,26","€2534,58",2019-05-23,VERDE
57,2007,"€85318,18","€2143,35",2020-06-17,NEGRO
Expedition,2007,"€85400,30","€2013,30",2010-08-01,BLANCO
Freestyle,2006,"€74699,46","€2225,81",2019-12-15,VERDE
Quattroporte,2005,"€83907,29","€2448,47",2011-03-21,GRIS
H3,2007,"€45814,68","€3428,85",2017-12-01,NEGRO
Journey,2012,"€33761,84","€3399,16",2010-10-02,GRIS
F150,1994,"€28985,40","€1637,90",2015-01-27,GRIS
Mini Cooper S,1963,"€28480,00","€2237,01",2013-10-24,GRIS
Navigator,2003,"€49258,15","€2488,80",2010-09-06,VERDE
Express,2006,"€91921,39","€1589,24",2010-08-02,VERDE
Mighty Max,1993,"€54695,66","€2115,11",2011-09-13,VERDE
Ram Van 3500,1995,"€61787,24","€3115,14",2012-07-31,BLANCO
Golf III,1993,"€35880,35","€3163,57",2015-09-16,BLANCO
G5,2008,"€8503,64","€2271,95",2017-12-27,BLANCO
Econoline E250,1995,"€53632,90","€2341,49",2020-02-27,GRIS
Camaro,2002,"€51027,84","€3432,88",2019-08-18,BLANCO
Vitara,2000,"€33140,36","€3468,18",2010-11-16,NEGRO
Tempo,1992,"€69917,21","€3407,19",2020-06-21,ROJO
300CE,1992,"€47411,34","€2380,11",2010-02-18,NEGRO
Xterra,2002,"€42823,17","€2281,55",2010-11-08,VERDE
928,1989,"€39815,50","€2597,48",2011-05-31,ROJO
Corvette,2003,"€86000,44","€2774,87",2016-10-05,ROJO
G-Series G10,1994,"€10361,91","€1647,85",2017-03-21,BLANCO
Voyager,2001,"€44484,65","€1934,39",2011-01-10,GRIS
Accent,2008,"€54891,26","€2392,91",2013-12-11,VERDE
Land Cruiser,1995,"€75191,85","€2124,30",2016-08-25,NEGRO
CC,2009,"€50814,82","€2244,89",2011-02-18,NEGRO
Land Cruiser,1992,"€9846,64","€3274,32",2013-08-24,VERDE
E250,2012,"€41908,80","€2256,37",2019-04-20,ROJO
Thunderbird,1996,"€65096,11","€3323,65",2013-06-06,BLANCO
CX-9,2009,"€83772,14","€1958,55",2015-04-16,ROJO
Sierra 3500,2004,"€94619,45","€2591,94",2018-08-19,ROJO
Arnage,2008,"€21271,08","€1791,68",2017-05-03,ROJO
Discovery,2008,"€28542,01","€2097,23",2017-09-11,ROJO
Cultus,1985,"€93198,32","€2082,70",2017-01-30,VERDE
Viper,2003,"€36551,29","€2639,06",2011-05-15,BLANCO
Focus,2010,"€74496,76","€3473,68",2013-01-22,ROJO
VS Commodore,1997,"€21411,88","€2462,62",2020-04-18,GRIS
Express 1500,2003,"€53987,79","€1791,87",2019-02-19,GRIS
Caravan,2009,"€68028,40","€2695,71",2010-04-07,GRIS
Gallardo,2010,"€98359,30","€3231,06",2020-07-03,ROJO
Lucerne,2008,"€80393,26","€1777,48",2012-01-24,ROJO
9-7X,2008,"€63960,86","€2769,21",2013-05-07,VERDE
TSX,2010,"€36374,32","€2739,61",2015-01-24,GRIS
Express 2500,2007,"€59129,42","€1973,97",2015-04-08,GRIS
Focus,2003,"€28004,12","€3037,14",2012-05-14,NEGRO
MX-5,2009,"€26236,63","€1924,58",2011-10-17,ROJO
E-Class,2005,"€36249,15","€2793,82",2010-08-04,BLANCO
SSR,2006,"€24733,63","€2364,42",2019-03-31,NEGRO
900,1996,"€28311,74","€2372,26",2019-06-02,BLANCO
Laser,1989,"€13055,86","€2294,91",2010-09-11,ROJO
Firebird,1985,"€63694,78","€1727,77",2019-01-05,NEGRO
Savana 1500,2008,"€13600,55","€2036,83",2016-01-31,GRIS
Golf,1993,"€96742,44","€3349,31",2017-02-11,BLANCO
MX-3,1996,"€27268,15","€2022,03",2016-07-25,VERDE
Ram,2009,"€26725,37","€3220,72",2011-05-18,BLANCO
300SD,1993,"€76767,65","€3172,58",2014-12-10,VERDE
Yukon,2004,"€51073,00","€2805,74",2015-02-06,VERDE
Quest,2009,"€24368,58","€3420,52",2017-10-28,GRIS
Montero Sport,1998,"€93710,15","€3385,49",2013-10-17,VERDE
S90,1997,"€21513,81","€2368,74",2014-09-10,ROJO
Ram,2007,"€51759,15","€2009,00",2019-10-26,GRIS
Sonata,2009,"€77441,16","€3110,63",2014-10-20,NEGRO
GLK-Class,2010,"€21487,59","€1578,29",2018-06-09,BLANCO
RX-8,2006,"€16095,86","€3320,93",2014-05-26,GRIS
Mazdaspeed6,2006,"€60004,79","€3007,32",2017-09-09,GRIS
GS,1996,"€45501,71","€2735,67",2019-02-25,ROJO
Accord,2003,"€77822,72","€2560,82",2016-02-23,VERDE
Caravan,2004,"€80728,16","€2104,86",2014-09-30,NEGRO
Sentra,2006,"€34907,50","€3012,14",2011-10-07,BLANCO
A8,2006,"€97182,10","€2059,85",2012-11-01,ROJO
F250,1992,"€37996,48","€1678,90",2020-04-12,GRIS
Tahoe,2012,"€19546,82","€2291,64",2018-12-04,NEGRO
Eurovan,2002,"€52100,35","€2477,37",2014-10-02,BLANCO
Caprice,1992,"€55800,43","€1594,21",2016-03-10,GRIS
Cayenne,2004,"€34462,26","€2397,07",2010-08-26,GRIS
Safari,1987,"€11857,92","€2832,72",2016-03-19,NEGRO
G-Series G30,1993,"€34808,68","€2862,64",2012-05-13,VERDE
Rogue,2011,"€50029,05","€2151,62",2019-04-20,GRIS
1500,1997,"€40928,71","€2286,14",2018-12-20,VERDE
Talon,1997,"€64218,90","€3427,68",2019-09-13,ROJO
Mulsanne,2011,"€85404,28","€2522,64",2015-08-20,NEGRO
Corvette,2006,"€65908,76","€2940,19",2018-02-15,BLANCO
4Runner,2001,"€15117,57","€2495,79",2015-09-23,GRIS
Nubira,1999,"€30884,64","€2681,07",2014-03-29,GRIS
CTS,2007,"€71801,81","€2234,87",2012-10-18,ROJO
911,1987,"€22334,74","€2373,60",2012-01-16,NEGRO
NV3500,2012,"€92817,84","€2986,98",2018-03-08,GRIS
Silverado 3500HD,2006,"€68944,07","€2249,48",2020-04-12,VERDE
Mirage,1986,"€67842,70","€1637,80",2012-01-31,VERDE
Riviera,1992,"€91514,93","€2412,63",2016-06-29,NEGRO
Town & Country,1996,"€41038,35","€2737,86",2016-02-01,ROJO
Enclave,2011,"€67203,96","€1983,42",2015-04-24,ROJO
Town Car,2003,"€19494,84","€1884,99",2020-03-18,GRIS
Tracer,1989,"€15125,93","€2027,85",2012-03-08,GRIS
Tempest,1967,"€81902,16","€2670,84",2015-08-01,VERDE
Reno,2005,"€70438,85","€3250,47",2015-08-24,BLANCO
Suburban 2500,2002,"€18695,66","€3171,69",2013-08-26,GRIS
Solara,1999,"€80839,72","€2300,68",2016-12-24,NEGRO
Avalon,2009,"€26024,11","€2616,43",2013-04-08,VERDE
Silhouette,1994,"€48317,16","€2986,74",2013-06-05,NEGRO
Grand Prix,1962,"€71150,99","€2766,52",2018-05-03,GRIS
Sequoia,2009,"€23142,38","€3194,52",2013-01-30,BLANCO
Altima,2008,"€26676,57","€2408,55",2018-06-23,BLANCO
3500 Club Coupe,1997,"€11846,61","€2774,12",2012-04-28,NEGRO
Celica,1999,"€85093,40","€1834,58",2014-06-27,ROJO
Protege,2000,"€14159,64","€2041,65",2015-04-24,ROJO
Laser,1988,"€11586,41","€2593,12",2012-09-04,GRIS
Sorento,2009,"€42900,60","€2535,57",2015-03-24,NEGRO
Avalon,2012,"€70476,93","€2487,09",2020-04-17,NEGRO
Acadia,2012,"€59242,05","€2396,29",2011-01-15,NEGRO
Q,2001,"€46228,70","€2547,92",2016-02-21,ROJO
Wrangler,1999,"€32821,94","€2416,02",2010-03-10,BLANCO
Laser,1994,"€8133,53","€3451,73",2015-01-27,VERDE
Ram,1994,"€36700,00","€2637,42",2015-10-16,GRIS
S10,1998,"€59065,17","€2163,13",2011-01-08,GRIS
Escort,1993,"€51157,14","€3260,35",2015-02-11,GRIS
Mazda6,2010,"€75679,40","€3495,48",2019-04-10,GRIS
57,2009,"€53662,25","€2690,84",2011-01-17,GRIS
Esprit,1986,"€79377,88","€1759,97",2012-12-03,ROJO
Eurovan,1992,"€69168,20","€2060,12",2013-06-04,VERDE
Santa Fe,2008,"€53874,75","€2436,57",2019-08-17,VERDE
GT500,1968,"€47116,78","€2493,23",2012-06-26,ROJO
rio,1995,"€69394,22","€2557,94",2015-02-21,VERDE
M3,2004,"€90700,89","€2286,05",2017-05-24,GRIS
Relay,2005,"€76342,55","€2857,27",2016-07-27,VERDE
Explorer,1994,"€45414,29","€1748,98",2012-01-20,GRIS
S6,2003,"€56707,18","€2527,37",2016-01-19,NEGRO
SLR McLaren,2008,"€43469,50","€2648,18",2015-07-18,BLANCO
E150,2012,"€14944,16","€3293,83",2011-01-12,BLANCO
Quest,2012,"€67449,03","€2516,32",2014-10-07,ROJO
4Runner,2010,"€24086,61","€3293,44",2018-10-13,NEGRO
MX-5,2012,"€39587,47","€2565,89",2015-05-19,BLANCO
Ram 1500,2006,"€35530,98","€2912,22",2019-06-19,ROJO
GTI,2002,"€60887,36","€3312,59",2011-03-15,BLANCO
X-Type,2005,"€78264,94","€2965,35",2016-10-01,GRIS
Quest,2007,"€67277,51","€2325,89",2013-05-06,GRIS
MX-6,1996,"€40110,74","€3196,43",2016-05-11,NEGRO
Ram 3500 Club,1995,"€61651,68","€3201,93",2015-03-19,VERDE
MX-3,1995,"€45539,57","€2123,17",2018-06-18,ROJO
Coupe,2006,"€28845,53","€3288,17",2013-10-22,BLANCO
Wrangler,1998,"€71846,79","€2906,12",2014-08-11,NEGRO
F-Series,1997,"€85153,17","€2970,84",2010-07-21,NEGRO
