MARCA,MODELO,PRECIO,IVA,FECHA_DE_EMESION,COLOR
Uplander,2005,"€56307,51","€3211,40",2011-01-04,NEGRO
Pathfinder,2006,"€43201,75","€3418,20",2019-05-29,NEGRO
Corvette,1999,"€71581,29","€2700,18",2018-09-23,GRIS
D150 Club,1992,"€22622,80","€3395,49",2019-01-22,ROJO
500,2012,"€52742,00","€3236,79",2011-07-10,ROJO
V40,2003,"€33006,58","€3342,17",2020-06-08,VERDE
Vandura 1500,1994,"€51868,08","€2571,87",2017-09-28,GRIS
E150,2004,"€53412,12","€3066,11",2012-05-07,BLANCO
Park Avenue,2000,"€64344,73","€1955,87",2016-02-23,BLANCO
Vibe,2006,"€52584,96","€3307,69",2019-04-13,VERDE
E-Series,2005,"€12572,79","€2684,60",2015-09-13,VERDE
Supra,1998,"€64206,26","€1962,42",2012-03-04,GRIS
DeVille,2003,"€94313,29","€1751,98",2017-02-12,NEGRO
Yaris,2011,"€43283,50","€3106,39",2018-02-10,BLANCO
Accord,2007,"€19080,65","€1773,95",2020-02-15,BLANCO
Suburban 2500,2009,"€74886,34","€2150,84",2017-01-04,BLANCO
GT-R,2013,"€23642,13","€2269,19",2014-03-25,NEGRO
ES,1992,"€27060,82","€3454,11",2017-05-01,NEGRO
Chariot,1990,"€55565,33","€3262,01",2014-02-21,BLANCO
Elantra,1995,"€45283,68","€2091,55",2015-04-25,BLANCO
Tribeca,2008,"€86802,98","€2229,76",2017-05-29,VERDE
GranTurismo,2009,"€37351,01","€2205,50",2012-06-29,ROJO
Acadia,2012,"€36018,91","€3362,92",2019-12-08,GRIS
Land Cruiser,2005,"€12434,37","€3004,04",2012-02-19,NEGRO
Grand Am,1988,"€63684,31","€1894,36",2012-07-19,ROJO
9000,1990,"€41558,54","€2960,59",2010-04-19,BLANCO
Truck,1986,"€30511,43","€2401,58",2010-02-13,NEGRO
Town Car,1999,"€10711,55","€2960,45",2013-03-01,VERDE
Boxster,2010,"€70525,37","€3279,64",2018-11-05,VERDE
Camaro,1998,"€96194,59","€2842,52",2013-06-21,VERDE
Avalanche 1500,2004,"€86201,06","€3054,64",2017-08-10,ROJO
Aerostar,1993,"€76421,29","€2310,09",2015-04-20,BLANCO
EX,2012,"€19894,43","€2462,97",2020-06-19,VERDE
Trans Sport,1997,"€49297,85","€2526,01",2018-12-24,NEGRO
Vantage,2009,"€86698,49","€2595,53",2012-06-26,GRIS
Envoy XL,2005,"€42893,06","€2336,64",2010-08-14,NEGRO
Silverado 2500,2005,"€99856,72","€2923,18",2011-01-07,NEGRO
GTI,2005,"€13524,32","€3386,95",2012-08-01,BLANCO
XR4Ti,1985,"€84336,28","€2840,43",2013-04-14,NEGRO
Yukon XL 1500,2012,"€82065,38","€3387,50",2010-04-08,GRIS
RS4,2008,"€40185,84","€3035,91",2011-06-09,NEGRO
Insight,2002,"€24561,91","€3418,15",2014-01-20,GRIS
Ram,2009,"€74092,32","€3026,45",2012-12-26,VERDE
MR2,1986,"€22927,65","€2153,47",2017-04-20,VERDE
G-Series 2500,1996,"€12087,60","€1711,89",2012-02-19,VERDE
911,1985,"€91633,88","€2325,80",2017-09-08,GRIS
Grand Cherokee,2012,"€96418,55","€1757,75",2010-11-24,ROJO
Tahoe,2009,"€55536,97","€2344,14",2020-02-03,ROJO
Grand Caravan,2002,"€45905,43","€2225,49",2016-08-14,NEGRO
Odyssey,1998,"€21316,96","€2097,68",2014-02-07,BLANCO
Legacy,2000,"€27147,01","€3072,64",2010-02-16,GRIS
Express 3500,2012,"€28187,67","€3464,99",2015-04-06,NEGRO
Miata MX-5,2003,"€91147,01","€3057,32",2017-08-28,ROJO
CLK-Class,1999,"€48089,33","€2628,69",2013-05-09,VERDE
900,1993,"€28664,17","€2214,11",2014-06-30,GRIS
Ram Wagon B250,1992,"€57041,55","€2854,18",2011-01-26,GRIS
Q7,2011,"€23980,16","€1814,82",2017-07-30,BLANCO
Sephia,1997,"€59128,69","€2050,04",2012-08-02,ROJO
Corvette,1973,"€65760,32","€1584,05",2013-12-03,ROJO
G-Series 1500,1996,"€89242,63","€2318,55",2014-12-19,VERDE
Dakota,1992,"€90421,64","€3296,31",2013-12-26,NEGRO
LR4,2012,"€68778,84","€2383,69",2018-03-10,VERDE
Tahoe,2010,"€40737,62","€2590,50",2012-03-16,NEGRO
Sierra 2500,2011,"€46121,43","€3101,82",2014-10-22,ROJO
Express 2500,2003,"€49819,93","€2979,16",2012-05-30,GRIS
QX,2004,"€98568,08","€2049,83",2020-05-05,NEGRO
Transit Connect,2012,"€84226,54","€3290,42",2016-05-31,VERDE
Camaro,1997,"€91841,23","€1768,31",2013-06-29,VERDE
600,1959,"€65722,24","€2259,03",2016-01-19,NEGRO
LSS,1997,"€68016,09","€3107,95",2019-07-22,NEGRO
STS-V,2009,"€45504,57","€1969,49",2014-07-19,NEGRO
Escape,2000,"€13992,06","€2584,43",2013-10-31,VERDE
SL-Class,2005,"€49706,17","€2121,37",2016-02-14,ROJO
Explorer,2002,"€98630,67","€3203,67",2017-04-11,ROJO
Ranger,2010,"€65898,36","€2511,56",2015-06-02,VERDE
F-Series,2007,"€40648,73","€1663,89",2011-08-02,ROJO
Sienna,2001,"€84718,35","€1615,00",2018-11-23,VERDE
Bonneville,1967,"€60084,07","€3444,56",2012-06-28,ROJO
Exige,2012,"€97306,43","€2475,78",2012-08-27,NEGRO
Grand Am,1997,"€47029,36","€1913,83",2019-11-08,GRIS
Optima,2005,"€77066,37","€2643,38",2016-01-20,ROJO
Caravan,2003,"€30162,35","€2150,86",2015-08-14,ROJO
Silverado 3500,2010,"€26034,41","€1716,58",2013-03-31,ROJO
Yukon XL 1500,2008,"€30995,28","€3070,37",2015-07-21,BLANCO
R-Class,2012,"€34469,12","€3427,90",2012-09-02,BLANCO
9-7X,2005,"€38184,74","€3005,07",2017-09-24,ROJO
Savana 3500,2005,"€80035,51","€1742,46",2018-03-19,NEGRO
Sportage,1995,"€46461,52","€2305,72",2016-10-11,GRIS
Explorer Sport Trac,2000,"€64737,83","€2295,65",2016-04-02,GRIS
V8,1991,"€88467,77","€1619,21",2016-12-09,BLANCO
Vantage,2007,"€49484,82","€2546,52",2013-12-14,BLANCO
Accord,1985,"€64422,68","€2310,03",2016-02-19,NEGRO
F-Series,2002,"€16672,14","€3330,51",2014-10-12,ROJO
Trans Sport,1998,"€78438,52","€2780,42",2013-12-22,ROJO
Altima,1998,"€99396,79","€3101,09",2017-11-06,GRIS
ES,2006,"€57818,41","€2555,92",2014-06-23,NEGRO
Swift,1988,"€91466,88","€2649,19",2016-06-08,ROJO
Explorer Sport Trac,2003,"€20121,95","€2934,18",2019-02-13,GRIS
LaCrosse,2007,"€22385,30","€3079,67",2012-06-26,BLANCO
Eurovan,1992,"€67955,90","€2815,34",2018-12-29,ROJO
Carrera GT,2004,"€30943,52","€2006,82",2010-06-27,GRIS
Outlander,2008,"€22241,05","€2592,51",2010-04-25,BLANCO
Cayenne,2006,"€30855,15","€2001,42",2016-10-01,NEGRO
Boxster,2007,"€80068,67","€1649,82",2019-07-30,ROJO
Express 2500,2007,"€64557,87","€2213,41",2012-04-05,NEGRO
A8,2006,"€59016,84","€2606,96",2019-06-16,BLANCO
Mark VIII,1995,"€36118,81","€2436,61",2017-08-31,GRIS
Civic,1995,"€57101,77","€1622,61",2012-03-02,BLANCO
626,1991,"€27750,25","€2749,57",2017-09-14,ROJO
Millenia,1998,"€22150,81","€3389,97",2019-05-25,VERDE
Bonneville,1967,"€74379,57","€2053,26",2013-09-08,NEGRO
Yukon,1995,"€89410,43","€3119,70",2015-01-23,VERDE
850,1996,"€86866,64","€1877,90",2020-05-08,BLANCO
Cutlass Supreme,1993,"€34751,50","€3237,60",2020-03-31,BLANCO
EX,2009,"€42311,44","€2143,02",2015-03-15,NEGRO
H2,2008,"€15033,86","€3127,45",2015-08-27,GRIS
Jetta,1988,"€66675,36","€2015,20",2019-07-07,ROJO
S-Series,1997,"€48773,12","€1778,55",2016-02-06,VERDE
Maxima,1990,"€85187,28","€2652,76",2012-04-26,VERDE
Monte Carlo,1997,"€37650,31","€1831,77",2017-06-30,VERDE
Titan,2012,"€19237,63","€1759,72",2020-03-13,NEGRO
Regal,2011,"€14204,42","€3244,95",2014-07-30,BLANCO
B-Series Plus,1994,"€51700,49","€1674,88",2018-05-04,ROJO
Firebird,1969,"€49750,04","€3106,92",2014-05-31,BLANCO
F250,2000,"€98236,20","€1780,18",2018-03-07,BLANCO
Entourage,2009,"€73999,84","€3120,17",2020-04-25,GRIS
GTI,1989,"€61860,87","€2006,54",2013-11-20,ROJO
Savana 1500,2005,"€56214,08","€2986,22",2019-12-09,NEGRO
Sierra 3500,2011,"€38721,92","€2983,72",2017-11-23,ROJO
FJ Cruiser,2007,"€54915,18","€1593,58",2017-09-21,VERDE
Z3,1998,"€11342,83","€1668,06",2010-04-16,GRIS
Camaro,1968,"€52234,96","€3428,13",2015-10-28,NEGRO
Viper RT/10,1995,"€77854,46","€2475,00",2015-12-10,GRIS
9-3,2012,"€82464,18","€3290,87",2018-04-08,ROJO
Dakota,2002,"€37496,64","€2371,79",2012-04-05,NEGRO
350Z,2003,"€52044,72","€2048,53",2010-10-01,VERDE
Optima,2005,"€19731,92","€2476,85",2019-12-04,VERDE
Skyhawk,1986,"€62988,34","€1784,24",2013-09-28,GRIS
Thunderbird,2006,"€93640,47","€2592,52",2014-02-04,GRIS
Galant,1995,"€23923,43","€2137,82",2011-04-30,VERDE
Dakota,2007,"€25833,96","€3380,67",2015-03-19,NEGRO
Equus,2012,"€42222,17","€3273,57",2013-03-15,ROJO
Mazda6,2009,"€85865,89","€2537,03",2017-11-26,ROJO
Diablo,1997,"€8789,60","€2279,20",2019-08-28,NEGRO
CL,2001,"€94018,15","€2676,28",2014-10-05,VERDE
F-Series,1997,"€56383,25","€2466,11",2014-01-20,ROJO
Sportvan G20,1993,"€11787,80","€3187,51",2018-02-23,NEGRO
LX,2013,"€38163,63","€1682,83",2015-10-29,VERDE
3500 Club Coupe,1993,"€35129,46","€2750,81",2015-10-11,ROJO
Firefly,1995,"€44466,93","€2588,52",2011-11-10,NEGRO
Probe,1997,"€39250,47","€3195,03",2012-03-27,VERDE
IS-F,2011,"€44215,24","€3463,14",2014-12-05,VERDE
Golf,1990,"€68163,76","€2165,98",2014-03-01,GRIS
Stratus,2002,"€12589,24","€1954,29",2018-09-29,ROJO
Viper,2004,"€14663,16","€3214,38",2016-02-06,VERDE
Taurus,2010,"€96325,89","€2412,77",2020-04-07,NEGRO
Ram 1500 Club,1997,"€71353,14","€3252,20",2014-02-15,GRIS
Cirrus,1998,"€99876,52","€1590,13",2015-02-10,GRIS
62,2003,"€50766,07","€3060,47",2017-02-08,ROJO
88,1993,"€24144,36","€2499,44",2013-11-30,GRIS
Celica,1992,"€59293,63","€3360,43",2018-05-23,ROJO
Passat,1994,"€66173,13","€3028,06",2017-08-25,GRIS
Century,1990,"€82303,77","€3459,18",2019-05-23,VERDE
SJ,1993,"€95634,90","€2658,68",2016-08-26,ROJO
Viper,1994,"€10729,02","€2747,38",2014-12-02,GRIS
B-Series Plus,1997,"€68685,82","€3226,25",2019-10-26,VERDE
Town & Country,2002,"€64790,26","€3079,25",2017-06-02,NEGRO
Grand Caravan,2006,"€18708,42","€2646,19",2015-08-19,VERDE
Quest,2000,"€69366,19","€2569,22",2017-02-09,ROJO
Prelude,1997,"€63429,66","€2697,39",2010-04-06,BLANCO
Altima,2004,"€17217,38","€2151,90",2015-08-08,VERDE
Tundra,2005,"€53918,99","€2438,96",2014-12-30,BLANCO
Savana 1500,2000,"€27819,40","€2709,00",2011-06-25,NEGRO
Forenza,2007,"€71052,64","€2020,19",2018-06-15,VERDE
Daewoo Lacetti,2005,"€97339,42","€2147,65",2014-05-17,BLANCO
Villager,1997,"€47022,38","€2157,47",2015-01-30,ROJO
Express 1500,2012,"€19958,14","€2994,56",2017-03-03,GRIS
Vanquish S,2005,"€81272,83","€2908,59",2012-11-15,BLANCO
GTI,1998,"€69493,09","€3491,04",2019-12-20,BLANCO
Ranger,1999,"€94080,72","€2299,60",2011-11-23,VERDE
Aztek,2003,"€74698,01","€1621,32",2017-11-27,ROJO
A4,2005,"€49230,90","€2037,88",2016-08-28,VERDE
Scoupe,1994,"€33282,88","€1676,74",2017-12-15,ROJO
Crosstour,2012,"€33713,17","€1858,00",2015-05-04,NEGRO
Galant,1999,"€55395,79","€2586,86",2016-09-22,BLANCO
Mustang,2000,"€40294,55","€2609,65",2015-09-15,VERDE
Navajo,1993,"€83162,69","€2103,81",2015-01-11,ROJO
G,2005,"€31692,93","€2988,86",2010-06-14,NEGRO
Corvette,1992,"€23208,24","€1978,37",2018-09-05,NEGRO
Cavalier,2005,"€34486,23","€2478,74",2018-10-17,NEGRO
S5,2010,"€73812,40","€3176,09",2010-04-30,NEGRO
Excursion,2000,"€8867,67","€2494,33",2020-02-04,ROJO
Terraza,2005,"€45731,72","€3483,82",2016-12-21,VERDE
Range Rover,1989,"€71057,08","€1926,00",2011-04-13,NEGRO
IS,2004,"€69947,26","€2104,81",2011-01-13,ROJO
Villager,1997,"€21311,40","€2100,08",2012-06-20,VERDE
MX-6,1992,"€38754,99","€2901,34",2010-07-27,ROJO
CL-Class,2012,"€78038,34","€2050,51",2015-05-27,ROJO
Corolla,2004,"€23284,27","€1700,62",2014-08-17,ROJO
Matrix,2010,"€60088,44","€1744,69",2015-07-09,VERDE
S-Class,2001,"€50866,23","€2246,56",2016-08-14,GRIS
C70,2007,"€76883,33","€3110,97",2015-11-18,BLANCO
Celica,2002,"€79453,06","€2197,16",2018-12-19,NEGRO
Eclipse,1991,"€30128,57","€1611,56",2010-12-01,GRIS
G25,2011,"€14258,88","€2370,05",2019-06-24,VERDE
Defender 90,1994,"€94747,48","€2632,46",2014-09-06,BLANCO
ES,1995,"€63788,89","€3046,50",2019-10-10,NEGRO
Metro,1997,"€12829,89","€2438,22",2020-06-03,ROJO
Milan,2007,"€36790,42","€2500,47",2017-08-03,VERDE
Parisienne,1985,"€11231,32","€2345,35",2014-12-02,NEGRO
Silverado 2500,2001,"€51577,12","€2302,09",2013-06-05,ROJO
458 Italia,2012,"€57686,47","€1607,66",2016-09-12,ROJO
Probe,1989,"€66379,39","€3149,28",2014-12-14,ROJO
Legacy,1989,"€22842,22","€1630,61",2016-10-10,NEGRO
E150,2005,"€95475,21","€1944,21",2013-04-21,NEGRO
Type 2,1986,"€59945,36","€3354,37",2019-10-29,BLANCO
A3,2006,"€73174,56","€2445,58",2015-08-02,BLANCO
Grand Cherokee,2005,"€69884,98","€2228,65",2018-11-14,GRIS
TT,2001,"€55384,36","€1718,52",2011-05-28,NEGRO
Yukon XL 1500,2004,"€19832,61","€2217,01",2020-05-11,NEGRO
900,1990,"€98385,56","€2794,20",2011-03-22,GRIS
4Runner,2005,"€9309,12","€2393,73",2018-03-25,GRIS
Impreza WRX,2011,"€82912,41","€2491,28",2016-01-01,NEGRO
Yukon XL 2500,2009,"€54789,47","€2882,20",2019-04-16,VERDE
Econoline E250,1999,"€96127,75","€1676,38",2013-04-25,ROJO
Wrangler,2009,"€40955,23","€1989,48",2018-04-25,GRIS
Freestyle,2006,"€71109,69","€3368,66",2014-01-22,BLANCO
Elantra,2005,"€22710,45","€2459,24",2014-07-09,BLANCO
Z4 M,2006,"€66592,59","€2490,61",2020-01-20,GRIS
Malibu,1997,"€79868,21","€2427,98",2018-05-13,GRIS
XK,2011,"€77981,06","€2466,41",2018-02-21,BLANCO
Swift,1988,"€68792,59","€2171,01",2014-06-21,VERDE
Celica,2003,"€40125,52","€2625,96",2010-12-23,ROJO
Silverado 1500,2011,"€89536,39","€2760,19",2011-09-11,ROJO
Yukon,2011,"€14397,35","€1882,41",2016-04-15,VERDE
Murano,2007,"€31329,48","€2037,89",2013-12-11,ROJO
Mazda6,2013,"€71464,70","€1896,58",2011-10-23,GRIS
Tacoma,2000,"€70886,76","€2533,74",2011-02-20,GRIS
Traverse,2010,"€43728,24","€3069,47",2010-11-13,VERDE
RL,2011,"€9048,43","€2943,14",2012-11-25,BLANCO
Achieva,1997,"€44738,18","€2627,80",2013-03-18,GRIS
Accent,1995,"€72239,64","€1736,86",2014-04-19,ROJO
Tempest,1966,"€63179,14","€3413,15",2013-07-29,VERDE
3 Series,2003,"€82421,90","€2171,45",2019-10-11,GRIS
Expo,1993,"€69092,06","€2672,11",2017-12-10,ROJO
Venture,1998,"€12607,07","€2100,94",2020-03-05,GRIS
Century,1997,"€51933,61","€3356,08",2018-03-16,NEGRO
Laser,1985,"€54106,34","€2377,40",2019-06-22,BLANCO
RDX,2011,"€57063,31","€3451,39",2012-10-25,ROJO
Express,2006,"€59814,80","€3404,73",2016-07-11,ROJO
RSX,2002,"€37338,33","€1916,19",2017-06-01,NEGRO
Typ-1,2009,"€32408,57","€2567,29",2015-04-13,BLANCO
Relay,2005,"€58545,92","€2694,17",2015-04-03,GRIS
Pathfinder,1993,"€18417,80","€2795,68",2020-03-18,NEGRO
ES,1990,"€8293,71","€2111,80",2011-07-15,VERDE
Navigator L,2010,"€44881,20","€3091,64",2010-05-30,BLANCO
Tempo,1994,"€81774,57","€2166,41",2012-02-24,BLANCO
Discovery,2006,"€43964,17","€3033,53",2017-04-13,BLANCO
Town & Country,2003,"€93298,09","€1876,19",2016-12-09,VERDE
G3,2009,"€29928,91","€2513,33",2015-11-20,ROJO
Sienna,2000,"€28168,87","€2239,41",2014-03-31,BLANCO
Dakota Club,2003,"€96387,33","€1639,76",2012-04-25,VERDE
Galant,1986,"€16112,87","€2471,67",2016-05-04,BLANCO
Grand Prix,1986,"€82214,33","€3296,17",2019-04-18,BLANCO
Sable,1992,"€11379,17","€2548,83",2016-09-12,VERDE
Vandura G2500,1995,"€91701,64","€1851,61",2015-06-30,VERDE
LS,1993,"€94673,57","€3184,60",2012-11-01,BLANCO
Rendezvous,2005,"€13656,88","€2023,97",2011-08-22,VERDE
Brat,1984,"€39922,84","€3269,58",2016-06-22,NEGRO
ES,2002,"€18616,84","€1886,43",2014-11-02,ROJO
Grand Voyager,1997,"€61299,74","€2000,54",2015-10-22,ROJO
Continental Mark VII,1991,"€31952,88","€2778,42",2010-04-23,GRIS
Seville,2000,"€36724,78","€3492,51",2015-04-16,ROJO
Golf,1976,"€29584,41","€2320,41",2012-04-04,GRIS
CX-7,2012,"€60178,36","€3177,10",2013-10-20,NEGRO
Camaro,1993,"€95183,99","€1683,90",2016-03-14,GRIS
APV,1992,"€9309,15","€2898,85",2015-06-25,GRIS
Golf,1998,"€37893,62","€3183,52",2011-11-30,NEGRO
Avalon,2012,"€28107,67","€3192,90",2012-11-03,VERDE
G35,2007,"€75456,46","€2362,49",2014-05-07,NEGRO
Mazda3,2010,"€90203,82","€2459,58",2017-12-24,GRIS
SRX,2004,"€31178,34","€1665,09",2017-04-12,NEGRO
LS,2011,"€40226,37","€3303,44",2011-11-02,NEGRO
Coupe,2006,"€22147,59","€3295,68",2015-01-27,NEGRO
Golf,1986,"€40098,18","€2640,55",2018-01-04,NEGRO
SX4,2007,"€22244,30","€2987,66",2013-05-30,GRIS
F250,1994,"€99692,84","€3100,79",2018-11-02,NEGRO
Q,2000,"€90873,23","€3242,29",2017-09-15,BLANCO
E-Class,1999,"€53213,21","€2635,49",2018-11-25,BLANCO
350Z,2003,"€56832,79","€2573,83",2013-02-25,BLANCO
Taurus,1987,"€80123,12","€2435,94",2015-01-20,NEGRO
Discovery,1997,"€39687,61","€2080,57",2015-02-15,VERDE
A6,2010,"€43780,79","€2792,71",2018-09-08,BLANCO
Camry,2010,"€18729,44","€2068,80",2017-04-24,BLANCO
Astro,1999,"€96495,69","€3347,03",2012-12-19,NEGRO
X-Type,2003,"€36051,91","€1659,99",2019-02-13,BLANCO
NSX,1995,"€50987,46","€2065,52",2012-01-18,ROJO
MPV,2001,"€39397,26","€3156,92",2014-01-05,VERDE
Century,2005,"€90958,69","€3186,51",2019-02-07,GRIS
SJ,1988,"€48990,52","€2820,17",2018-11-17,VERDE
SL-Class,2009,"€12899,34","€2640,68",2015-06-06,ROJO
Celica,2001,"€42112,24","€3231,43",2018-04-14,VERDE
CR-V,2009,"€79772,18","€2880,20",2014-11-22,ROJO
Boxster,2006,"€94330,02","€2667,67",2018-12-12,NEGRO
Tracker,2001,"€96637,54","€2087,69",2018-05-20,ROJO
Sportvan G20,1994,"€51643,48","€1750,96",2012-09-28,GRIS
Yukon,2002,"€10631,28","€2993,96",2018-02-04,ROJO
Ram 2500 Club,1998,"€18452,44","€1982,24",2014-08-15,NEGRO
Insight,2001,"€65540,94","€1778,73",2015-01-03,GRIS
Pathfinder,2003,"€99420,63","€2905,38",2015-01-09,VERDE
Impala,2003,"€64404,39","€2199,88",2019-08-20,GRIS
BRZ,2013,"€92824,28","€2837,47",2018-11-07,VERDE
GLI,2009,"€43805,31","€2294,60",2019-05-27,GRIS
MX-5,1996,"€27672,63","€2148,00",2014-01-16,VERDE
Villager,1995,"€66370,18","€2027,93",2012-07-19,ROJO
LeSabre,1999,"€65444,58","€3113,50",2014-11-26,BLANCO
GT350,1969,"€19141,99","€3368,25",2012-12-11,VERDE
S-Class,1994,"€15660,64","€3344,15",2017-04-19,GRIS
IS F,2008,"€92260,85","€2665,81",2010-05-06,BLANCO
Achieva,1996,"€10960,16","€2070,38",2015-07-11,ROJO
Prius,2012,"€53346,13","€1601,87",2018-08-30,NEGRO
RAV4,2011,"€67378,22","€1896,36",2014-10-25,ROJO
Accord,2007,"€19136,62","€2525,53",2020-06-02,NEGRO
Touareg 2,2009,"€11455,34","€2044,35",2015-12-16,ROJO
I,1999,"€11600,04","€1589,00",2010-02-22,ROJO
Compass,2007,"€70680,67","€2037,76",2018-08-14,BLANCO
FX,2006,"€58194,61","€2450,59",2013-06-22,NEGRO
Hombre,2000,"€57713,21","€1682,17",2014-03-03,NEGRO
XLR,2006,"€39897,63","€2255,22",2015-11-08,ROJO
HS,2012,"€95218,09","€2194,99",2017-05-10,GRIS
Prius,2003,"€74652,00","€2050,11",2014-04-02,NEGRO
Spider,1994,"€70284,25","€3065,35",2011-02-12,BLANCO
Jetta,1999,"€24095,89","€3186,92",2010-04-27,GRIS
Focus,2011,"€63135,09","€2269,37",2010-10-15,GRIS
Ram Van 1500,2003,"€85505,92","€3240,33",2015-08-11,ROJO
